2026-02-18 14:37:09.207 [info] (Windsurf) 2026-02-18 14:37:09.207 [INFO]: [windsurf#terminal] Shell integration DETECTED for managed
2026-02-18 14:37:47.943 [info] (Windsurf) 2026-02-18 14:37:47.942 [INFO]: [windsurf#terminal] Shell integration FAILED for unknown, reason: failedToSetStickyBit
2026-02-18 14:37:48.354 [info] 2026/02/18 14:37:48 maxprocs: Leaving GOMAXPROCS=8: CPU quota undefined
2026-02-18 14:37:48.558 [info] I0218 14:37:48.558168 65424 main.go:604] Setting GOMAXPROCS to 4
2026-02-18 14:37:48.561 [info] I0218 14:37:48.560895 65424 main.go:819] Starting language server process with pid 65424
2026-02-18 14:37:48.564 [info] I0218 14:37:48.564024 65424 server.go:359] Language server will attempt to listen on host 127.0.0.1
2026-02-18 14:37:48.565 [info] I0218 14:37:48.564829 65424 server.go:366] Language server listening on random port at 46773
2026-02-18 14:37:49.821 [info] I0218 14:37:49.821581 65424 server.go:500] Created extension server client at port 36039
2026-02-18 14:37:50.074 [info] (Windsurf) 2026-02-18 14:37:50.073 [INFO]: Language server started
2026-02-18 14:37:50.113 [info] (Windsurf) 2026-02-18 14:37:50.113 [INFO]: LS lspClient started successfully
2026-02-18 14:39:37.739 [info] I0218 14:39:37.738988 65424 completion_provider.go:869] err: context canceled
2026-02-18 14:39:38.013 [info] I0218 14:39:38.010431 65424 completion_provider.go:869] err: context canceled
2026-02-18 14:39:38.227 [info] I0218 14:39:38.227698 65424 completion_provider.go:869] err: context canceled
2026-02-18 14:39:38.423 [info] I0218 14:39:38.420027 65424 completion_provider.go:869] err: context canceled
2026-02-18 14:39:38.609 [info] I0218 14:39:38.609700 65424 completion_provider.go:869] err: context canceled
2026-02-18 14:39:38.909 [info] I0218 14:39:38.909707 65424 completion_provider.go:869] err: context canceled
2026-02-18 14:39:39.579 [info] I0218 14:39:39.579870 65424 completion_provider.go:869] err: context canceled
2026-02-18 14:39:40.049 [info] I0218 14:39:40.046352 65424 completion_provider.go:869] err: context canceled
2026-02-18 14:39:40.573 [info] I0218 14:39:40.571779 65424 completion_provider.go:869] err: context canceled
2026-02-18 14:39:40.798 [info] I0218 14:39:40.797827 65424 completion_provider.go:869] err: context canceled
2026-02-18 14:39:40.969 [info] I0218 14:39:40.969071 65424 completion_provider.go:869] err: context canceled
2026-02-18 14:39:41.204 [info] I0218 14:39:41.204115 65424 completion_provider.go:869] err: context canceled
2026-02-18 14:39:41.774 [info] I0218 14:39:41.774356 65424 completion_provider.go:869] err: context canceled
2026-02-18 14:39:42.048 [info] I0218 14:39:42.048334 65424 completion_provider.go:869] err: context canceled
2026-02-18 14:39:42.658 [info] I0218 14:39:42.658581 65424 completion_provider.go:869] err: context canceled
2026-02-18 14:39:43.263 [info] I0218 14:39:43.263017 65424 completion_provider.go:869] err: context canceled
2026-02-18 14:39:43.616 [info] I0218 14:39:43.615951 65424 completion_provider.go:869] err: context canceled
2026-02-18 14:39:44.104 [info] I0218 14:39:44.103961 65424 completion_provider.go:869] err: context canceled
2026-02-18 14:39:44.511 [info] I0218 14:39:44.510823 65424 completion_provider.go:869] err: context canceled
2026-02-18 14:39:44.751 [info] I0218 14:39:44.751890 65424 completion_provider.go:869] err: context canceled
2026-02-18 14:39:45.291 [info] I0218 14:39:45.291069 65424 completion_provider.go:869] err: context canceled
2026-02-18 14:39:45.707 [info] I0218 14:39:45.707501 65424 completion_provider.go:869] err: context canceled
2026-02-18 14:39:45.916 [info] I0218 14:39:45.916657 65424 completion_provider.go:869] err: context canceled
2026-02-18 14:39:46.161 [info] I0218 14:39:46.161446 65424 completion_provider.go:869] err: context canceled
2026-02-18 14:39:46.539 [info] I0218 14:39:46.538955 65424 completion_provider.go:869] err: context canceled
2026-02-18 14:39:52.916 [info] I0218 14:39:52.916720 65424 completion_provider.go:869] err: context canceled
2026-02-18 14:39:53.138 [info] I0218 14:39:53.137938 65424 completion_provider.go:869] err: context canceled
2026-02-18 14:39:53.341 [info] I0218 14:39:53.340951 65424 completion_provider.go:869] err: context canceled
2026-02-18 14:39:53.571 [info] I0218 14:39:53.570950 65424 completion_provider.go:869] err: context canceled
2026-02-18 14:39:53.872 [info] I0218 14:39:53.868982 65424 completion_provider.go:869] err: context canceled
2026-02-18 14:39:54.369 [info] I0218 14:39:54.369269 65424 completion_provider.go:869] err: context canceled
2026-02-18 14:44:56.171 [info] I0218 14:44:56.171090 65424 completion_provider.go:869] err: context canceled
2026-02-18 14:44:56.766 [info] I0218 14:44:56.766812 65424 completion_provider.go:869] err: context canceled
2026-02-18 14:44:57.009 [info] I0218 14:44:57.008868 65424 completion_provider.go:869] err: context canceled
2026-02-18 14:44:57.386 [info] I0218 14:44:57.386581 65424 completion_provider.go:869] err: context canceled
2026-02-18 14:44:57.969 [info] I0218 14:44:57.968756 65424 completion_provider.go:869] err: context canceled
